Presence,dbh,Group
no,16.4,0
no,46.7,0
no,64.8,0
no,62,0
no,62.7,0
no,55.7,0
no,19.8,0
no,56.8,0
no,9.7,0
no,60,0
no,15.8,0
no,22.5,0
no,64.9,0
no,65.8,0
no,37.6,0
no,42.6,0
no,46.5,0
no,16.7,0
no,37.6,0
no,60.2,0
no,63,0
no,58,0
no,58.8,0
no,18.9,0
no,45,0
no,53.35,0
no,22,0
no,53.7,0
no,40.9,0
no,43.4,0
no,56,0
no,25.6,0
no,27.2,0
no,19.1,0
no,60.5,0
no,51,0
no,65.7,0
no,26.9,0
no,22.7,0
no,21.4,0
no,16.1,0
no,26.3,0
no,5.7,0
no,5.7,0
no,25.7,0
no,27.8,0
no,35.8,0
no,18.5,0
no,23.2,0
no,9.9,0
no,6.1,0
no,5.7,0
no,63,0
no,27.6,0
no,52.7,0
no,48.4,0
no,83.7,0
no,78.5,0
no,20,0
no,24.8,0
no,45.5,0
no,47.5,0
no,54.7,0
no,56,0
no,23.9,0
no,19,0
no,82.5,0
no,44.7,0
no,50.1,0
no,26.1,0
no,18,0
no,50.9,0
no,57,0
no,56.5,0
no,18.1,0
no,15.4,0
no,50.5,0
no,43,0
no,7.3,0
no,52.9,0
no,16.1,0
no,19,0
no,24,0
no,22.6,0
no,22.9,0
no,12.1,0
no,34,0
no,20,0
no,25.6,0
no,24,0
no,12,0
no,19.2,0
no,14.3,0
no,27,0
yes,57.65,1
yes,3.3,1
yes,40.4,1
yes,39.7,1
yes,38.75,1
yes,64.1,1
yes,57.6,1
yes,21.6,1
yes,43.7,1
yes,54.9,1
yes,22.9,1
yes,65.5,1
yes,71.3,1
yes,74,1
yes,62.9,1
yes,52.5,1
yes,33.7,1
yes,7.8,1
yes,9.9,1
